legacy_id,season,zone,date,game_week,venue,home_team_name,away_team_name,home_score,away_score,played,active,description
33,2018,,10/06/2018 09:00,9,Mombasa,Mvita XI,Kabarak University,5,1,1,Y,
34,2018,,10/06/2018 09:00,9,City Park,Sailors,Kisumu Youngstars,1,0,1,Y,
35,2018,,16/06/2018 15:00,10,Nakuru,Kabarak University,Kimathi University,2,1,1,Y,
48,2018,,17/06/2018 11:00,10,City Park,Wazalendo Masters,Kimathi University,0,2,1,Y,
38,2018,,17/06/2018 13:00,10,City Park,Technical University,Kabarak University,3,1,1,Y,
59,2018,,30/06/2018 15:00,11,Kisumu,Kisumu Youngstars,Kabarak University,2,0,1,Y,
60,2018,,30/06/2018 16:00,11,City Park,Wazalendo Masters,Sailors,3,6,1,Y,
61,2018,,01/07/2018 10:00,11,Kisumu,Kisumu Youngstars,Technical University,0,2,1,Y,
63,2018,,14/07/2018 15:00,12,Mombasa,Mombasa Sports Club,Wazalendo Masters,1,0,1,Y,
62,2018,,14/07/2018 15:00,12,Kisumu,Kisumu Youngstars,Impala Club,3,2,1,Y,
64,2018,,14/07/2018 18:00,12,City Park,Multimedia University,Technical University,1,2,1,Y,
65,2018,,21/07/2018 14:00,13,City Park,Wazalendo Masters,Mvita XI,1,4,1,Y,
70,2018,,21/07/2018 15:00,13,Nakuru,Kabarak University,Technical University,1,0,1,Y,
66,2018,,22/07/2018 07:00,13,City Park,Impala Club,Mvita XI,2,1,1,Y,
67,2018,,28/07/2018 16:00,14,City Park,Kisumu Youngstars,Mombasa Sports Club,1,3,1,Y,
68,2018,,29/07/2018 09:00,14,City Park,Impala Club,Mombasa Sports Club,3,1,1,Y,
69,2018,,29/07/2018 13:00,14,City Park,Kimathi University,Kabarak University,2,1,1,Y,
71,2018,,04/08/2018 16:00,15,City Park,Impala Club,Kisumu Youngstars,1,2,1,Y,
72,2018,,04/08/2018 18:00,15,City Park,Sailors,Mvita XI,1,2,1,Y,
73,2018,,05/08/2018 09:00,15,City Park,Kisumu Youngstars,Mvita XI,1,3,1,Y,
74,2018,,05/08/2018 11:00,15,City Park,Kimathi University,Wazalendo Masters,1,2,1,Y,
75,2018,,05/08/2018 13:00,15,City Park,Sailors,Kabarak University,5,0,1,Y,
78,2018,,11/08/2018 15:00,16,Mombasa,Mvita XI,Sailors,1,2,1,Y,
79,2018,,12/08/2018 08:00,16,Mombasa,Mombasa Sports Club,Sailors,0,2,1,Y,
81,2018,,12/08/2018 13:00,16,City Park,Impala Club,Wazalendo Masters,3,1,1,Y,
145,2018,,25/08/2018 16:00,17,City Park,Multimedia University,Wazalendo Masters,4,0,1,Y,
146,2018,,01/09/2018 14:00,18,City Park,Technical University,Impala Club,0,1,1,Y,
147,2018,,02/09/2018 13:00,18,City Park,Technical University,Multimedia University,1,1,1,Y,
148,2018,,08/09/2018 12:00,19,City Park,Kenyatta University,Technical University,0,2,1,Y,
149,2018,,08/09/2018 18:00,19,City Park,Multimedia University,Kisumu Youngstars,2,1,1,Y,
150,2018,,09/09/2018 11:00,19,City Park,Kisumu Youngstars,Kenyatta University,1,1,1,Y,
151,2018,,09/09/2018 13:00,19,City Park,Impala Club,Wazalendo Masters,1,0,1,Y,
152,2018,,09/09/2018 15:00,19,City Park,Technical University,Sailors,2,2,1,Y,
153,2018,,16/09/2018 13:00,20,City Park,Kimathi University,Technical University,4,0,1,Y,
154,2018,,19/09/2018 18:00,21,City Park,Wazalendo Masters,Technical University,2,4,1,Y,
155,2018,,22/09/2018 14:00,21,Mombasa,Mvita XI,Kimathi University,2,1,1,Y,
156,2018,,22/09/2018 16:00,21,Mombasa,Mombasa Sports Club,Kenyatta University,0,2,1,Y,
158,2018,,23/09/2018 09:00,21,Mombasa,Mvita XI,Kenyatta University,1,1,1,Y,
157,2018,,23/09/2018 09:00,21,Kisumu,Kisumu Youngstars,Multimedia University,0,1,1,Y,
159,2018,,23/09/2018 11:00,21,Mombasa,Mombasa Sports Club,Kimathi University,0,2,1,Y,
160,2018,,29/09/2018 13:00,22,Nakuru,Kabarak University,Impala Club,3,3,1,Y,
161,2018,,29/09/2018 14:00,22,City Park,Kenyatta University,Kimathi University,0,5,1,Y,*W/O - Kimathi awarded 5 goals and 3 points
162,2018,,30/09/2018 09:00,22,Kisumu,Kisumu Youngstars,Wazalendo Masters,1,2,1,Y,
163,2018,,30/09/2018 13:00,22,City Park,Multimedia University,Kabarak University,5,1,1,Y,
164,2018,,03/10/2018 18:00,23,City Park,Sailors,Kenyatta University,1,1,1,Y,
165,2018,,06/10/2018 14:00,23,City Park,Technical University,Mvita XI,0,2,1,Y,
166,2018,,06/10/2018 16:00,23,City Park,Wazalendo Masters,Mombasa Sports Club,3,3,1,Y,
167,2018,,07/10/2018 07:00,23,City Park,Kenyatta University,Mombasa Sports Club,1,2,1,Y,
168,2018,,07/10/2018 09:00,23,City Park,Multimedia University,Mvita XI,3,1,1,Y,
169,2018,,07/10/2018 13:00,23,City Park,Kimathi University,Impala Club,1,2,1,Y,
170,2018,,13/10/2018 13:00,24,Mombasa,Mombasa Sports Club,Multimedia University,1,2,1,Y,
171,2018,,13/10/2018 15:00,24,Kisumu,Kisumu Youngstars,Kenyatta University,0,2,1,Y,
173,2018,,14/10/2018 09:00,24,Kisumu,Kisumu Youngstars,Sailors,0,0,1,Y,
172,2018,,14/10/2018 09:00,24,Mombasa,Mvita XI,Multimedia University,1,0,1,Y,
174,2018,,14/10/2018 13:00,24,City Park,Impala Club,Kabarak University,3,1,1,Y,
175,2018,,27/10/2018 14:00,25,City Park,Sailors,Multimedia University,0,1,1,Y,
176,2018,,27/10/2018 15:00,25,Mombasa,Mvita XI,Impala Club,2,2,1,Y,
177,2018,,28/10/2018 09:00,25,Mombasa,Mombasa Sports Club,Impala Club,1,1,1,Y,
178,2018,,28/10/2018 13:00,25,City Park,Kenyatta University,Wazalendo Masters,0,2,1,Y,
179,2018,,28/10/2018 15:00,25,City Park,Sailors,Kimathi University,3,0,1,Y,
180,2018,,03/11/2018 14:00,26,City Park,Kimathi University,Mombasa Sports Club,0,3,1,Y,
181,2018,,03/11/2018 15:00,26,Nakuru,Kabarak University,Kisumu Youngstars,1,2,1,Y,
182,2018,,03/11/2018 16:00,26,City Park,Sailors,Wazalendo Masters,3,2,1,Y,
183,2018,,04/11/2018 09:00,26,City Park,Mombasa Sports Club,Kisumu Youngstars,0,1,1,Y,
184,2018,,04/11/2018 10:00,26,Nakuru,Kabarak University,Kenyatta University,2,0,1,Y,
185,2018,,04/11/2018 13:00,26,City Park,Kimathi University,Multimedia University,1,5,1,Y,
186,2018,,07/11/2018 18:00,27,City Park,Impala Club,Sailors,1,6,1,Y,
187,2018,,10/11/2018 12:00,27,City Park,Impala Club,Kenyatta University,3,2,1,Y,
188,2018,,10/11/2018 14:00,27,Nakuru,Kabarak University,Multimedia University,0,3,1,Y,
189,2018,,11/11/2018 10:00,27,Mombasa,Mvita XI,Mombasa Sports Club,0,0,1,Y,
190,2018,,11/11/2018 11:00,27,City Park,Multimedia University,Kimathi University,6,0,1,Y,
191,2018,,11/11/2018 13:00,27,City Park,Kenyatta University,Kabarak University,3,0,1,Y,
192,2018,,17/11/2018 14:00,28,City Park,Kabarak University,Mvita XI,1,2,1,Y,
193,2018,,17/11/2018 16:00,28,City Park,Kenyatta University,Technical University,2,1,1,Y,
194,2018,,18/11/2018 09:00,28,City Park,Kenyatta University,Mvita XI,4,4,1,Y,
195,2018,,18/11/2018 13:00,28,City Park,Wazalendo Masters,Kabarak University,1,1,1,Y,
197,2018,,24/11/2018 15:00,29,Kisumu,Kisumu Youngstars,Kimathi University,5,0,1,Y,
196,2018,,24/11/2018 15:00,29,Mombasa,Mvita XI,Wazalendo Masters,2,1,1,Y,
198,2018,,24/11/2018 16:00,29,City Park,Kabarak University,Mombasa Sports Club,1,0,1,Y,
199,2018,,25/11/2018 09:00,29,City Park,Multimedia University,Mombasa Sports Club,3,1,1,Y,
200,2018,,01/12/2018 12:00,30,City Park,Impala Club,Multimedia University,0,0,1,Y,
201,2018,,01/12/2018 14:00,30,City Park,Kimathi University,Mvita XI,2,2,1,Y,
202,2018,,01/12/2018 18:00,30,City Park,Technical University,Kisumu Youngstars,1,1,1,Y,
203,2018,,02/12/2018 11:00,30,City Park,Mvita XI,Kisumu Youngstars,4,1,1,Y,
204,2018,,02/12/2018 15:00,30,City Park,Multimedia University,Kenyatta University,1,0,1,Y,
205,2018,,08/12/2018 16:00,31,City Park,Sailors,Mombasa Sports Club,4,0,1,Y,
206,2018,,09/12/2018 07:00,31,City Park,Technical University,Mombasa Sports Club,3,3,1,Y,
207,2018,,09/12/2018 13:00,31,City Park,Multimedia University,Sailors,0,2,1,Y,
208,2019,,02/03/2019 18:00,1,City Park,Technical University,Multimedia University,2,0,1,Y,
209,2019,,03/03/2019 15:00,1,City Park,Parkroad Badgers,KCAU,3,0,1,Y,
210,2019,,09/03/2019 15:00,2,Bungoma,Bungoma Farmers,Kisumu Youngstars,1,3,1,Y,
212,2019,,09/03/2019 18:00,2,City Park,Multimedia University,Wazalendo Masters,1,1,1,Y,
214,2019,,10/03/2019 15:00,2,City Park,Impala Club,Parkroad Badgers,0,1,1,Y,
215,2019,,13/03/2019 18:00,3,City Park,Technical University,Impala Club,4,0,1,Y,
216,2019,,16/03/2019 14:00,3,City Park,Wazalendo Masters,Nakuru,1,2,1,Y,
218,2019,,16/03/2019 16:00,3,Mombasa,Mombasa Sports Club,Mvita XI,5,0,1,Y,
220,2019,,17/03/2019 15:00,3,City Park,Multimedia University,KCAU,1,5,1,Y,
211,2019,,24/03/2019 12:00,4,City Park,KCAU,Technical University,1,2,1,Y,
276,2019,,30/03/2019 14:00,5,City Park,Multimedia University,Mombasa Sports Club,0,0,1,Y,
222,2019,,30/03/2019 16:00,5,City Park,Technical University,Kisumu Youngstars,2,1,1,Y,
223,2019,,30/03/2019 18:00,5,City Park,Kenyatta University,Mvita XI,1,1,1,Y,
224,2019,,31/03/2019 09:00,5,City Park,Mvita XI,Kisumu Youngstars,0,1,1,Y,
225,2019,,31/03/2019 11:00,5,City Park,Parkroad Badgers,Mombasa Sports Club,2,1,1,Y,
226,2019,,06/04/2019 15:00,6,Mombasa,Mombasa Sports Club,Technical University,5,0,1,Y,
227,2019,,07/04/2019 09:00,6,Mombasa,Mvita XI,Technical University,5,0,1,Y,
228,2019,,07/04/2019 13:00,6,City Park,KCAU,Nakuru,2,1,1,Y,
229,2019,,13/04/2019 14:00,7,City Park,Impala Club,Wazalendo Masters,2,2,1,Y,
230,2019,,13/04/2019 15:00,7,Nakuru,Nakuru,Multimedia University,0,3,1,Y,
231,2019,,13/04/2019 15:00,7,Kisumu,Kisumu Youngstars,Parkroad Badgers,0,1,1,Y,
232,2019,,14/04/2019 09:00,7,Bungoma,Bungoma Farmers,Parkroad Badgers,1,4,1,Y,
233,2019,,14/04/2019 13:00,7,City Park,KCAU,Impala Club,1,1,1,Y,
234,2019,,14/04/2019 15:00,7,City Park,Kenyatta University,Technical University,0,1,1,Y,
235,2019,,19/04/2019 15:00,8,City Park,Parkroad Badgers,Kenyatta University,4,1,1,Y,
236,2019,,20/04/2019 16:00,8,City Park,Impala Club,Multimedia University,0,2,1,Y,
238,2019,,22/04/2019 15:00,9,City Park,Impala Club,Kenyatta University,3,3,1,Y,
240,2019,,01/05/2019 15:00,10,City Park,Wazalendo Masters,Kenyatta University,0,3,1,Y,
264,2019,,04/05/2019 14:00,10,City Park,Multimedia University,Parkroad Badgers,0,1,1,Y,
242,2019,,04/05/2019 16:00,10,City Park,Kenyatta University,Bungoma Farmers,3,2,1,Y,
243,2019,,05/05/2019 09:00,10,City Park,Mvita XI,Bungoma Farmers,7,1,1,Y,
244,2019,,05/05/2019 11:00,10,City Park,Wazalendo Masters,KCAU,1,2,1,Y,
245,2019,,05/05/2019 13:00,10,City Park,Kenyatta University,Nakuru,0,1,1,Y,
246,2019,,11/05/2019 14:00,11,Nakuru,Nakuru,Impala Club,1,1,1,Y,
247,2019,,11/05/2019 15:00,11,Bungoma,Bungoma Farmers,Wazalendo Masters,2,0,1,Y,
248,2019,,11/05/2019 16:00,11,Mombasa,Mvita XI,KCAU,1,1,1,Y,
249,2019,,12/05/2019 09:00,11,Kisumu,Kisumu Youngstars,Wazalendo Masters,2,1,1,Y,
250,2019,,12/05/2019 09:00,11,Mombasa,Mombasa Sports Club,KCAU,0,3,1,Y,
251,2019,,12/05/2019 15:00,11,City Park,Parkroad Badgers,Technical University,2,0,1,Y,
252,2019,,18/05/2019 14:00,12,City Park,Mombasa Sports Club,Nakuru,2,1,1,Y,
253,2019,,18/05/2019 15:00,12,Bungoma,Bungoma Farmers,Impala Club,1,2,1,Y,
254,2019,,19/05/2019 09:00,12,Kisumu,Kisumu Youngstars,Impala Club,1,2,1,Y,
255,2019,,19/05/2019 11:00,12,City Park,Technical University,Mombasa Sports Club,1,2,1,Y,
257,2019,,19/05/2019 15:00,12,City Park,Multimedia University,Kenyatta University,0,1,1,Y,
364,2019,,08/06/2019 15:00,13,Nakuru,Nakuru,Bungoma Farmers,2,3,1,Y,
365,2019,,08/06/2019 16:00,13,Mombasa,Mvita XI,Impala Club,2,0,1,Y,
366,2019,,09/06/2019 09:00,13,Mombasa,Mombasa Sports Club,Impala Club,1,0,1,Y,
367,2019,,09/06/2019 11:00,13,City Park,Technical University,Bungoma Farmers,1,0,1,Y,
368,2019,,09/06/2019 15:00,13,City Park,Kenyatta University,KCAU,0,1,1,Y,
369,2019,,15/06/2019 14:00,14,Nakuru,Nakuru,Kisumu Youngstars,3,1,1,Y,
370,2019,,15/06/2019 16:00,14,City Park,Multimedia University,Parkroad Badgers,NULL,NULL,0,N,
371,2019,,16/06/2019 09:00,14,City Park,KCAU,Kisumu Youngstars,2,2,1,Y,
373,2019,,06/07/2019 14:00,15,City Park,Nakuru,Mvita XI,0,1,1,Y,
374,2019,,07/07/2019 09:00,15,City Park,Parkroad Badgers,Mvita XI,3,1,1,Y,
375,2019,,20/07/2019 14:00,16,City Park,Parkroad Badgers,Nakuru,2,1,1,Y,
376,2019,,20/07/2019 15:00,16,Bungoma,Bungoma Farmers,Multimedia University,NULL,NULL,0,N,
377,2019,,20/07/2019 16:00,16,Mombasa,Mvita XI,Wazalendo Masters,1,1,1,Y,
379,2019,,21/07/2019 09:00,16,Mombasa,Mombasa Sports Club,Wazalendo Masters,0,1,1,Y,
378,2019,,21/07/2019 09:00,16,Kisumu,Kisumu Youngstars,Multimedia University,NULL,NULL,0,N,
381,2019,,27/07/2019 13:00,17,Nakuru,Nakuru,Technical University,1,0,1,Y,
382,2019,,27/07/2019 14:00,17,City Park,Multimedia University,Mombasa Sports Club,NULL,NULL,0,N,
383,2019,,27/07/2019 16:00,17,City Park,Kenyatta University,Kisumu Youngstars,1,1,1,Y,
384,2019,,28/07/2019 11:00,17,City Park,Mombasa Sports Club,Kisumu Youngstars,3,0,1,Y,
385,2019,,28/07/2019 15:00,17,City Park,Wazalendo Masters,Parkroad Badgers,0,2,1,Y,
387,2019,,10/08/2019 14:00,18,City Park,KCAU,Bungoma Farmers,2,1,1,Y,
388,2019,,10/08/2019 16:00,18,City Park,Kenyatta University,Mombasa Sports Club,0,0,1,Y,
390,2019,,10/08/2019 18:00,18,City Park,Technical University,Wazalendo Masters,1,1,1,Y,
389,2019,,11/08/2019 09:00,18,City Park,Mombasa Sports Club,Bungoma Farmers,2,1,1,Y,
460,2019,,24/08/2019 15:00,19,Kisumu,Kisumu Youngstars,Bungoma Farmers,4,2,1,Y,
461,2019,,24/08/2019 16:00,19,City Park,Wazalendo Masters,Impala Club,4,1,1,Y,
462,2019,,31/08/2019 15:00,20,Nakuru,Nakuru,Wazalendo Masters,0,1,1,Y,
463,2019,,31/08/2019 16:00,20,City Park,Impala Club,KCAU,0,1,1,Y,
464,2019,,31/08/2019 16:00,20,Mombasa,Mvita XI,Mombasa Sports Club,1,0,1,Y,
465,2019,,07/09/2019 14:00,21,City Park,KCAU,Parkroad Badgers,1,2,1,Y,
466,2019,,07/09/2019 15:00,21,Bungoma,Bungoma Farmers,Nakuru,0,0,1,Y,
467,2019,,07/09/2019 16:00,21,Mombasa,Mombasa Sports Club,Kenyatta University,1,0,1,Y,
468,2019,,08/09/2019 09:00,21,Mombasa,Mvita XI,Kenyatta University,3,0,1,Y,
469,2019,,08/09/2019 10:00,21,Kisumu,Kisumu Youngstars,Nakuru,3,1,1,Y,
470,2019,,08/09/2019 13:00,21,City Park,KCAU,Wazalendo Masters,3,2,1,Y,
472,2019,,14/09/2019 15:00,22,Bungoma,Bungoma Farmers,KCAU,0,2,1,Y,
471,2019,,14/09/2019 15:00,22,Kisumu,Kisumu Youngstars,Technical University,2,0,1,Y,
473,2019,,14/09/2019 16:00,22,City Park,Multimedia University,Mvita XI,0,2,1,Y,
474,2019,,15/09/2019 09:00,22,City Park,Impala Club,Mvita XI,1,1,1,Y,
475,2019,,15/09/2019 10:00,22,Bungoma,Bungoma Farmers,Technical University,3,1,1,Y,
476,2019,,15/09/2019 13:00,22,City Park,Kenyatta University,Parkroad Badgers,1,1,1,Y,
477,2019,,18/09/2019 18:00,23,City Park,Technical University,Kenyatta University,3,0,1,Y,
478,2019,,21/09/2019 13:00,23,Kisumu,Kisumu Youngstars,Kenyatta University,0,2,1,Y,
479,2019,,21/09/2019 14:00,23,Bungoma,Bungoma Farmers,Multimedia University,1,0,1,Y,
480,2019,,21/09/2019 16:00,23,Mombasa,Mvita XI,Parkroad Badgers,1,1,1,Y,
483,2019,,22/09/2019 08:00,23,Bungoma,Bungoma Farmers,Kenyatta University,2,2,1,Y,
482,2019,,22/09/2019 09:00,23,City Park,Technical University,KCAU,0,2,1,Y,
481,2019,,22/09/2019 09:00,23,Mombasa,Mombasa Sports Club,Parkroad Badgers,0,2,1,Y,
484,2019,,22/09/2019 10:00,23,Kisumu,Kisumu Youngstars,Multimedia University,2,1,1,Y,
485,2019,,22/09/2019 13:00,23,City Park,Impala Club,Nakuru,0,1,1,Y,
486,2019,,25/09/2019 18:00,24,City Park,Technical University,Parkroad Badgers,1,1,1,Y,
487,2019,,28/09/2019 14:00,24,City Park,Kisumu Youngstars,Mvita XI,1,2,1,Y,
488,2019,,28/09/2019 16:00,24,City Park,Bungoma Farmers,Mombasa Sports Club,1,3,1,Y,
489,2019,,29/09/2019 09:00,24,City Park,Impala Club,Kisumu Youngstars,0,3,1,Y,
490,2019,,29/09/2019 11:00,24,City Park,Bungoma Farmers,Mvita XI,1,1,1,Y,
491,2019,,29/09/2019 13:00,24,City Park,Wazalendo Masters,Mombasa Sports Club,1,1,1,Y,
492,2019,,29/09/2019 15:00,24,City Park,Multimedia University,Technical University,0,0,1,Y,
493,2019,,05/10/2019 15:00,25,Kisumu,Kisumu Youngstars,KCAU,0,0,1,Y,
494,2019,,05/10/2019 16:00,25,City Park,Kenyatta University,Wazalendo Masters,1,3,1,Y,
495,2019,,06/10/2019 13:00,25,City Park,Multimedia University,Nakuru,0,2,1,Y,
497,2019,,12/10/2019 14:00,26,City Park,Multimedia University,Bungoma Farmers,3,1,1,Y,
498,2019,,13/10/2019 11:00,26,City Park,Wazalendo Masters,Bungoma Farmers,3,0,1,Y,
500,2019,,16/10/2019 18:00,27,City Park,Parkroad Badgers,Impala Club,3,3,1,Y,
501,2019,,26/10/2019 16:00,28,City Park,Parkroad Badgers,Bungoma Farmers,2,1,1,Y,
503,2019,,26/10/2019 18:00,28,City Park,KCAU,Kenyatta University,0,2,1,Y,
502,2019,,27/10/2019 08:00,28,City Park,Impala Club,Bungoma Farmers,5,3,1,Y,
499,2019,,27/10/2019 12:15,28,City Park,KCAU,Multimedia University,3,2,1,Y,
504,2019,,02/11/2019 14:00,29,City Park,Nakuru,Mombasa Sports Club,0,2,1,Y,
505,2019,,02/11/2019 16:00,29,City Park,KCAU,Mvita XI,4,1,1,Y,
506,2019,,03/11/2019 09:00,29,City Park,Mvita XI,Nakuru,1,0,1,Y,
507,2019,,03/11/2019 13:00,29,City Park,KCAU,Mombasa Sports Club,0,1,1,Y,
508,2019,,03/11/2019 15:00,29,City Park,Kenyatta University,Impala Club,1,1,1,Y,
496,2019,,08/11/2019 18:00,30,City Park,Wazalendo Masters,Technical University,1,0,1,Y,
509,2019,,13/11/2019 20:00,31,City Park,Impala Club,Technical University,0,2,1,Y,
510,2019,,17/11/2019 13:00,31,City Park,Technical University,Nakuru,1,0,1,Y,
512,2019,,23/11/2019 16:00,32,Mombasa,Mombasa Sports Club,Multimedia University,1,1,1,Y,
513,2019,,24/11/2019 09:00,32,Mombasa,Mvita XI,Multimedia University,2,1,1,Y,
511,2019,,24/11/2019 09:00,32,Nakuru,Nakuru,Parkroad Badgers,1,0,1,Y,
514,2019,,30/11/2019 14:00,33,City Park,Wazalendo Masters,Mvita XI,3,0,1,Y,
515,2019,,30/11/2019 15:00,33,Nakuru,Nakuru,KCAU,1,4,1,Y,
516,2019,,01/12/2019 09:00,33,City Park,Technical University,Mvita XI,2,3,1,Y,
517,2019,,01/12/2019 10:00,33,Nakuru,Nakuru,Kenyatta University,2,2,1,Y,
527,2019,,04/12/2019 18:00,34,City Park,Parkroad Badgers,Wazalendo Masters,1,1,1,Y,
518,2019,,07/12/2019 14:00,34,City Park,Kenyatta University,Multimedia University,0,2,1,Y,
519,2019,,07/12/2019 16:00,34,City Park,Impala Club,Mombasa Sports Club,1,2,1,Y,
